first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Adrian,Mariappa,356,Mariappa,42,-3,2,0.1,18,57,3,450,0,0,0,16,1,0,0,0,62
Francisco,Femenía Far,357,Kiko Femenía,42,-3,2,0.4,18,57,13,925,0,0,1,25,4,0,0,0,138
Craig,Cathcart,358,Cathcart,43,-2,2,1.3,18,57,36,1189,0,0,4,19,2,0,0,1,214
Daryl,Janmaat,359,Janmaat,42,-3,2,1.1,18,57,36,606,0,1,4,5,1,0,0,7,148
Marc,Navarro,360,Navarro,39,-1,2,0.4,18,57,0,0,0,0,0,0,0,0,0,0,0
Sebastian,Prödl,361,Prödl,40,0,2,1.3,18,57,1,56,0,0,0,0,0,0,0,0,3
Troy,Deeney,362,Deeney,62,-3,4,0.5,18,57,9,390,0,0,1,7,0,0,0,0,30
Gerard,Deulofeu,363,Deulofeu,61,-4,4,2.1,18,57,46,1103,2,2,4,22,2,0,0,6,170
Andre,Gray,364,Gray,56,-4,4,0.4,18,57,28,671,2,0,0,15,1,0,0,2,91
Isaac,Success Ajayi,365,Success,48,-2,4,0.4,18,57,3,47,0,0,0,2,0,0,0,0,8
Ben,Foster,366,Foster,48,-2,1,2.0,18,57,57,1440,0,0,4,30,0,0,49,10,286
Pontus,Dahlberg,367,Dahlberg,43,-2,1,0.1,18,57,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye,Doucouré,368,Doucouré,56,-4,3,0.9,18,57,37,1407,1,0,4,30,4,0,0,2,195
Roberto,Pereyra,369,Pereyra,56,-4,3,0.7,18,57,25,813,1,0,4,10,3,0,0,0,79
Will,Hughes,370,Hughes,54,-1,3,0.4,18,57,35,839,1,1,3,19,2,0,0,3,113
Tom,Cleverley,371,Cleverley,48,-2,3,0.1,18,57,24,645,1,0,1,17,0,0,0,2,120
Ken,Sema,372,Sema,48,-2,3,0.0,18,57,0,0,0,0,0,0,0,0,0,0,0
Etienne,Capoue,373,Capoue,48,-2,3,0.3,18,57,25,982,0,1,2,26,3,0,0,1,149
Nathaniel,Chalobah,374,Chalobah,44,-1,3,0.2,18,57,8,259,0,0,0,5,0,0,0,0,38
Domingos,Quina,375,Quina,44,-1,3,0.1,18,57,2,11,0,0,0,1,0,0,0,0,5
Craig,Dawson,439,Dawson,48,-2,2,0.2,18,57,20,1068,0,0,2,23,3,0,0,0,158
Danny,Welbeck,512,Welbeck,58,-2,4,0.1,18,57,7,208,0,0,1,2,0,0,0,0,13
Heurelho da Silva,Gomes,513,Gomes,44,-1,1,0.2,18,57,0,0,0,0,0,0,0,0,0,0,0
Ismaïla,Sarr,525,Sarr,62,-3,3,0.1,18,57,19,459,1,0,1,10,0,0,0,0,56
Dimitri,Foulquier,542,Foulquier,40,0,2,0.2,18,57,1,57,0,0,0,6,0,0,0,0,12
Ayotomiwa,Dele-Bashiru,563,Dele-Bashiru,45,0,3,0.0,18,57,0,0,0,0,0,0,0,0,0,0,0
Aaron,Cresswell,376,Cresswell,47,-3,2,1.4,19,21,41,943,3,0,2,20,4,0,0,5,157
Angelo,Ogbonna,377,Ogbonna,45,0,2,0.7,19,21,44,1080,2,0,4,16,2,0,0,0,212
