first_name,second_name,id,web_name,now_cost,cost_change_start,element_type,selected_by_percent,team,team_code,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,yellow_cards,red_cards,saves,bonus,bps
Robbie,Brady,98,Brady,55,0,3,0.0,5,90,29,395,1,2,1,10,1,0,0,0,104
Steven,Defour,99,Defour,55,0,3,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0
Jeff,Hendrick,100,Hendrick,54,-1,3,0.1,5,90,63,1752,2,2,9,29,7,0,0,4,183
Ashley,Westwood,101,Westwood,54,-1,3,0.8,5,90,87,2160,2,6,10,28,8,0,0,9,392
Jack,Cork,102,Cork,49,-1,3,0.2,5,90,58,2185,0,0,9,35,0,0,0,0,257
Aaron,Lennon,430,Lennon,46,-4,3,0.1,5,90,14,484,0,0,0,15,4,0,0,0,48
Erik,Pieters,447,Pieters,42,-3,2,4.2,5,90,42,1233,0,3,3,29,1,0,0,7,226
Jay,Rodriguez,451,Rodriguez,57,-3,4,0.3,5,90,58,1219,5,0,3,25,1,0,0,3,170
Bailey,Peacock-Farrell,495,Peacock-Farrell,43,-2,1,0.1,5,90,0,0,0,0,0,0,0,0,0,0,0
Mace,Goodridge,571,Goodridge,45,0,3,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0
Anthony,Driscoll-Glennon,572,Driscoll-Glennon,39,-1,2,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0
Abd-Al-Ali Morakinyo Olaposi,Koiki,596,Koiki,40,0,2,0.0,5,90,0,0,0,0,0,0,0,0,0,0,0
Josh,Brownhill,620,Brownhill,50,0,3,0.0,5,90,1,1,0,0,0,0,0,0,0,0,3
Marcos,Alonso,103,Alonso,60,-5,2,2.1,6,8,55,678,2,3,4,5,3,0,0,5,202
Antonio,Rüdiger,104,Rüdiger,60,0,2,0.6,6,8,37,1035,2,0,2,13,3,0,0,3,202
César,Azpilicueta,105,Azpilicueta,58,-2,2,6.0,6,8,81,2239,2,3,4,36,0,0,0,7,449
Emerson,Palmieri dos Santos,107,Emerson,54,-1,2,0.7,6,8,18,1020,0,0,1,21,3,0,0,0,179
Andreas,Christensen,108,Christensen,49,-1,2,0.6,6,8,22,1166,0,0,2,22,4,0,0,0,204
Davide,Zappacosta,109,Zappacosta,43,-2,2,0.2,6,8,0,0,0,0,0,0,0,0,0,0,0
Olivier,Giroud,110,Giroud,65,-5,4,1.1,6,8,17,282,1,0,2,5,0,0,0,3,47
Kepa,Arrizabalaga,111,Kepa,55,0,1,4.4,6,8,63,2160,0,0,5,32,0,0,41,0,363
Willy,Caballero,112,Caballero,48,-2,1,0.2,6,8,5,270,0,0,0,5,0,0,6,0,37
Willian,Borges Da Silva,113,Willian,70,0,3,4.2,6,8,99,1827,4,5,7,21,3,0,0,14,434
Pedro,Rodríguez Ledesma,114,Pedro,68,-2,3,1.1,6,8,13,473,0,0,1,10,1,0,0,0,57
Ruben,Loftus-Cheek,115,Loftus-Cheek,63,-2,3,0.1,6,8,0,0,0,0,0,0,0,0,0,0,0
Callum,Hudson-Odoi,116,Hudson-Odoi,53,-7,3,0.7,6,8,45,768,1,4,2,12,1,0,0,3,172
Ross,Barkley,117,Barkley,56,-4,3,1.2,6,8,24,554,0,2,3,7,0,0,0,0,75
Jorge Luiz,Frello Filho,118,Jorginho,49,-1,3,4.5,6,8,80,1946,4,3,4,30,9,0,0,9,461
N'Golo,Kanté,119,Kanté,50,0,3,3.9,6,8,49,1383,3,0,2,20,3,0,0,2,242
Ethan,Ampadu,121,Ampadu,44,-1,3,0.0,6,8,0,0,0,0,0,0,0,0,0,0,0
Christian,Pulisic,431,Pulisic,69,-6,3,3.5,6,8,70,1069,5,3,3,19,0,0,0,5,217
Mateo,Kovacic,432,Kovacic,53,-2,3,0.9,6,8,56,1588,1,3,2,27,7,0,0,6,374
Kurt,Zouma,459,Zouma,47,-3,2,1.5,6,8,37,1713,0,0,3,27,4,0,0,1,288
Tammy,Abraham,460,Abraham,76,6,4,20.4,6,8,131,1930,13,5,7,27,2,0,0,20,396
Michy,Batshuayi,461,Batshuayi,66,-4,4,0.5,6,8,27,206,1,2,0,8,0,0,0,1,57
Robert Kenedy,Nunes do Nascimento,462,Kenedy,52,-3,3,0.0,6,8,0,0,0,0,0,0,0,0,0,0,0
Mason,Mount,463,Mount,61,1,3,14.9,6,8,103,2147,5,5,7,31,3,0,0,8,374
Reece,James,506,James,50,0,2,0.8,6,8,43,945,0,2,3,12,1,0,0,5,235
